year,fee_monthly,year_hh_inc,facility,age_group,reg_schl,daily_hours,first_sib_disc,second_sib_disc,gross_net_income,sib_fee_high_paid,months,Income Table (Y/N),fee exempt (age),fee exempt (year),otherstipulations,pov_sub(Y/N),kreis_city,elig_voters,voter_rate,num_votes,cdurt,spdrt,grnrt,linkrt,fdprt,afdrt,otherrt,regional_schlüssel,ausbthrt_total,ausbrth15_20,ausbrth21_25,ausbrth26_30,ausbrth31_35,ausbrth36_40,ausbrth41_45,ausbrth46_50,deubthrt_total,deubrth15_20,deubrth21_25,deubrth26_30,deubrth31_35,deubrth36_40,deubrth41_45,deubrth46_50,fee_per_inc
2016,325.0,76363.0,,<3,59620024024,5.0,,,,,,,,,,,        Iserlohn,68943.25,71.3,48652.75,2.8772861008028148,3.6890982503364738,19.177276310603077,14.008854016700258,9.26233877492742,,17.703174747566635,5962024,0.07085680403201898,0.07365439093484419,0.20665083135391926,0.3784313725490196,0.3049907578558225,0.03314917127071823,0.0,0.14352941176470588,0.03344684991486256,0.0039856516540454365,0.031264803410705824,0.03425925925925926,0.02681231380337637,0.0049900199600798395,0.0,0.0073681108163866785,0.004255987847517777
2016,360.0,76758.0,,<3,59620024024,7.0,,,,,,,,,,,        Iserlohn,68943.25,71.3,48652.75,2.8772861008028148,3.6890982503364738,19.177276310603077,14.008854016700258,9.26233877492742,,17.703174747566635,5962024,0.07085680403201898,0.07365439093484419,0.20665083135391926,0.3784313725490196,0.3049907578558225,0.03314917127071823,0.0,0.14352941176470588,0.03344684991486256,0.0039856516540454365,0.031264803410705824,0.03425925925925926,0.02681231380337637,0.0049900199600798395,0.0,0.0073681108163866785,0.0046900648792308295
2016,380.0,74943.0,,<3,59620024024,9.0,,,,,,,,,,,        Iserlohn,68943.25,71.3,48652.75,2.8772861008028148,3.6890982503364738,19.177276310603077,14.008854016700258,9.26233877492742,,17.703174747566635,5962024,0.07085680403201898,0.07365439093484419,0.20665083135391926,0.3784313725490196,0.3049907578558225,0.03314917127071823,0.0,0.14352941176470588,0.03344684991486256,0.0039856516540454365,0.031264803410705824,0.03425925925925926,0.02681231380337637,0.0049900199600798395,0.0,0.0073681108163866785,0.005070520262065836
2016,180.0,78666.0,,>3,59620024024,5.0,,,,,,,,,,,        Iserlohn,68943.25,71.3,48652.75,2.8772861008028148,3.6890982503364738,19.177276310603077,14.008854016700258,9.26233877492742,,17.703174747566635,5962024,0.07085680403201898,0.07365439093484419,0.20665083135391926,0.3784313725490196,0.3049907578558225,0.03314917127071823,0.0,0.14352941176470588,0.03344684991486256,0.0039856516540454365,0.031264803410705824,0.03425925925925926,0.02681231380337637,0.0049900199600798395,0.0,0.0073681108163866785,0.0022881549843642743
2016,200.0,79199.0,,>3,59620024024,7.0,,,,,,,,,,,        Iserlohn,68943.25,71.3,48652.75,2.8772861008028148,3.6890982503364738,19.177276310603077,14.008854016700258,9.26233877492742,,17.703174747566635,5962024,0.07085680403201898,0.07365439093484419,0.20665083135391926,0.3784313725490196,0.3049907578558225,0.03314917127071823,0.0,0.14352941176470588,0.03344684991486256,0.0039856516540454365,0.031264803410705824,0.03425925925925926,0.02681231380337637,0.0049900199600798395,0.0,0.0073681108163866785,0.002525284410156694
2016,280.0,74999.0,,>3,59620024024,9.0,,,,,,,,,,,        Iserlohn,68943.25,71.3,48652.75,2.8772861008028148,3.6890982503364738,19.177276310603077,14.008854016700258,9.26233877492742,,17.703174747566635,5962024,0.07085680403201898,0.07365439093484419,0.20665083135391926,0.3784313725490196,0.3049907578558225,0.03314917127071823,0.0,0.14352941176470588,0.03344684991486256,0.0039856516540454365,0.031264803410705824,0.03425925925925926,0.02681231380337637,0.0049900199600798395,0.0,0.0073681108163866785,0.0037333831117748236
2017,180.0,78866.0,,>3,59620024024,5.0,,,,,,,,,,,        Iserlohn,68488.0,71.8,48707.0,3.0331921783534685,3.938783761927867,19.62409347300564,13.620525727069351,7.776943956570332,8.038785278098697,25.59485023646873,5962024,0.06463768115942027,0.07988165680473372,0.19457013574660634,0.41495327102803736,0.3731060606060606,0.033807829181494664,0.001669449081803005,0.16591928251121074,0.03923780870001253,0.0056022408963585435,0.02152152152152152,0.03873075128324778,0.02709483191169092,0.0035070140280561127,0.0,0.006877149109096593,0.002282352344483047
2017,280.0,74999.0,,>3,59620024024,9.0,,,,,,,,,,,        Iserlohn,68488.0,71.8,48707.0,3.0331921783534685,3.938783761927867,19.62409347300564,13.620525727069351,7.776943956570332,8.038785278098697,25.59485023646873,5962024,0.06463768115942027,0.07988165680473372,0.19457013574660634,0.41495327102803736,0.3731060606060606,0.033807829181494664,0.001669449081803005,0.16591928251121074,0.03923780870001253,0.0056022408963585435,0.02152152152152152,0.03873075128324778,0.02709483191169092,0.0035070140280561127,0.0,0.006877149109096593,0.0037333831117748236
2017,325.0,76363.0,,<3,59620024024,5.0,,,,,,,,,,,        Iserlohn,68488.0,71.8,48707.0,3.0331921783534685,3.938783761927867,19.62409347300564,13.620525727069351,7.776943956570332,8.038785278098697,25.59485023646873,5962024,0.06463768115942027,0.07988165680473372,0.19457013574660634,0.41495327102803736,0.3731060606060606,0.033807829181494664,0.001669449081803005,0.16591928251121074,0.03923780870001253,0.0056022408963585435,0.02152152152152152,0.03873075128324778,0.02709483191169092,0.0035070140280561127,0.0,0.006877149109096593,0.004255987847517777
2017,360.0,76758.0,,<3,59620024024,7.0,,,,,,,,,,,        Iserlohn,68488.0,71.8,48707.0,3.0331921783534685,3.938783761927867,19.62409347300564,13.620525727069351,7.776943956570332,8.038785278098697,25.59485023646873,5962024,0.06463768115942027,0.07988165680473372,0.19457013574660634,0.41495327102803736,0.3731060606060606,0.033807829181494664,0.001669449081803005,0.16591928251121074,0.03923780870001253,0.0056022408963585435,0.02152152152152152,0.03873075128324778,0.02709483191169092,0.0035070140280561127,0.0,0.006877149109096593,0.0046900648792308295
