,year,regional_schlüssel,Aus15,Aus16,Aus17,Aus18,Aus19,Aus20,Aus21,Aus22,Aus23,Aus24,Aus25,Aus26,Aus27,Aus28,Aus29,Aus30,Aus31,Aus32,Aus33,Aus34,Aus35,Aus36,Aus37,Aus38,Aus39,Aus40,Aus41,Aus42,Aus43,Aus44,Aus45,Aus46,Aus47,Aus48,Aus49,Aus50,Ausuknwn,Deu15,Deu16,Deu17,Deu18,Deu19,Deu20,Deu21,Deu22,Deu23,Deu24,Deu25,Deu26,Deu27,Deu28,Deu29,Deu30,Deu31,Deu32,Deu33,Deu34,Deu35,Deu36,Deu37,Deu38,Deu39,Deu40,Deu41,Deu42,Deu43,Deu44,Deu45,Deu46,Deu47,Deu48,Deu49,Deu50,Deuuknwn,Austotal,Deutotal,Deu15_20,Aus15_20,Deu21_25,Aus21_25,Deu26_30,Aus26_30,Deu31_35,Aus31_35,Deu36_40,Aus36_40,Deu41_45,Aus41_45,Deu46_50,Aus46_50
12,2000,5154016,0,0,1,0,1,1,0,2,1,1,1,3,2,1,0,2,2,1,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,8,11,4,4,5,7,12,10,12,20,21,25,29,26,17,16,22,9,0,0,3,2,0,0,1,0,0,0,0,10,6,5,6,0,27,294,3,26,5,38,8,107,11,90,0,5,0,1,0,27
13,2000,5154020,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,2,1,5,4,4,4,4,9,12,6,8,7,7,5,0,1,2,0,0,0,0,0,0,0,0,4,2,0,0,0,8,91,0,4,2,12,2,33,3,33,0,3,0,0,1,6
14,2000,5154024,0,0,0,0,0,0,2,0,2,1,3,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,7,4,7,2,11,5,4,5,8,4,14,11,13,9,4,2,1,0,3,1,1,0,0,0,0,0,0,4,1,2,1,0,15,127,0,10,8,29,4,35,2,39,0,6,0,0,1,8
15,2000,5154028,0,0,0,1,0,0,0,1,0,1,0,1,0,0,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,1,3,3,6,3,7,6,7,11,7,5,9,6,0,0,0,0,0,1,0,0,0,0,0,6,0,3,2,0,10,91,1,4,2,8,4,29,3,38,0,0,0,1,0,11
16,2000,5154032,0,0,1,0,1,0,1,3,3,0,0,1,1,4,6,3,2,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,110,0,1,3,5,6,4,4,4,12,13,18,17,15,16,22,19,21,16,20,7,0,0,2,1,1,1,0,0,0,0,0,10,2,5,6,0,37,361,2,125,7,37,15,88,9,83,0,4,0,1,4,23
17,2000,5154036,0,0,1,4,1,1,2,2,0,5,7,3,4,6,4,3,5,3,3,1,1,0,1,1,1,0,0,0,0,0,0,0,5,2,0,0,0,0,1,2,5,4,6,8,14,5,14,18,12,20,21,31,33,31,27,22,19,19,0,1,2,2,0,0,0,0,0,0,0,11,8,4,3,0,66,343,7,18,16,59,20,117,13,118,3,5,0,0,7,26
18,2000,5154040,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,2,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,2,2,1,3,2,10,10,10,11,4,9,2,0,0,0,1,0,0,0,0,0,0,0,4,0,3,0,0,12,78,0,2,1,6,5,26,6,36,0,1,0,0,0,7
19,2000,5154044,0,0,0,1,1,0,0,0,1,1,1,1,1,0,2,1,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,2,4,2,4,2,11,15,14,15,17,5,15,27,17,14,11,13,1,0,1,2,0,0,0,0,0,0,0,2,4,1,3,0,18,206,2,10,3,34,5,66,7,82,0,4,0,0,1,10
20,2000,5154048,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3,2,3,4,7,3,3,5,6,0,1,0,0,0,0,0,0,0,0,0,6,0,1,0,0,5,49,0,0,2,2,2,15,0,24,0,1,0,0,1,7
21,2000,5154052,0,0,0,0,0,0,1,1,0,1,0,2,1,0,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,5,2,3,5,5,6,8,6,14,9,15,11,15,3,9,0,1,0,0,0,0,0,0,0,0,0,2,9,4,2,0,12,138,0,4,3,20,4,43,5,53,0,1,0,0,0,17
22,2000,5154056,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,0,3,1,3,5,2,1,4,5,7,6,4,11,5,3,0,0,1,1,0,0,0,0,0,0,0,5,4,3,0,0,7,78,1,4,1,12,1,19,3,29,0,2,0,0,1,12
23,2000,5154060,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,4,2,1,4,4,5,5,8,9,5,5,6,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,5,68,0,1,2,9,3,19,0,33,0,0,0,0,0,6
24,2000,5154064,0,0,0,0,0,2,1,1,1,0,0,1,0,1,1,1,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,2,7,6,5,4,9,4,4,7,8,2,6,1,0,0,1,0,0,0,0,0,0,0,0,3,2,2,1,0,15,80,2,4,3,17,4,26,6,24,0,1,0,0,0,8
25,2000,5158004,0,0,0,1,3,3,4,4,2,6,5,10,9,12,4,10,5,3,3,2,3,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,6,2,7,6,6,11,14,8,16,20,12,25,20,27,33,27,16,18,0,0,5,1,0,0,0,0,0,0,0,15,9,6,17,0,93,329,7,17,21,45,45,93,16,121,1,6,0,0,3,47
26,2000,5158008,0,0,0,3,1,2,5,3,5,1,5,3,5,3,4,5,4,1,3,4,1,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,2,5,0,4,2,3,3,7,10,8,13,16,18,20,18,16,18,11,0,0,4,0,0,0,1,0,0,0,0,11,3,7,0,0,63,200,6,7,19,19,20,65,13,83,0,4,1,1,4,21
27,2000,5158012,0,0,1,0,1,2,2,4,7,8,5,5,7,3,3,3,3,4,3,3,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,3,6,3,7,5,9,7,5,7,13,14,12,11,16,14,8,0,1,2,0,0,0,0,0,0,0,0,9,4,4,3,0,70,165,4,5,26,30,21,46,14,61,2,3,0,0,3,20
28,2000,5158016,0,0,1,0,1,2,4,6,7,7,8,10,8,7,6,9,2,5,6,5,3,0,0,2,0,0,0,0,0,0,0,0,2,3,1,0,0,0,1,1,2,3,7,5,12,8,10,7,9,22,23,34,24,41,36,38,40,30,3,1,4,3,1,0,0,0,0,0,0,14,11,8,9,0,105,407,4,14,32,42,40,112,21,185,2,12,0,0,6,42
29,2000,5158020,0,0,0,1,5,3,3,4,3,5,4,5,7,4,4,7,7,8,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,4,5,4,10,10,10,4,14,17,15,21,36,30,45,37,51,40,21,2,0,7,4,0,0,0,0,0,0,0,21,9,14,7,0,79,440,9,15,19,48,27,119,23,194,0,13,0,0,1,51
30,2000,5158024,0,1,1,1,3,3,4,5,5,1,5,14,4,8,3,0,1,2,1,1,0,0,1,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,3,3,5,4,8,6,13,13,6,11,13,14,19,26,21,18,21,1,1,1,2,1,0,0,0,0,0,0,10,12,8,4,0,70,246,9,8,20,36,29,57,5,105,3,6,0,0,4,34
31,2000,5158026,0,0,1,3,4,2,3,2,8,7,9,8,9,5,4,5,3,2,5,4,2,0,1,0,0,0,0,0,0,0,0,0,2,0,3,1,0,0,0,5,2,6,11,5,13,5,12,14,13,19,20,21,18,25,19,32,19,14,2,0,1,1,0,0,0,0,0,0,0,14,11,2,5,0,93,309,10,24,29,49,31,91,16,109,1,4,0,0,6,32
32,2000,5158028,110,0,1,2,3,5,9,9,8,9,13,12,17,9,6,16,4,10,9,6,3,1,0,0,0,0,0,0,0,0,0,0,7,2,1,5,0,0,2,5,4,5,4,10,14,19,12,24,21,30,32,43,58,80,60,56,51,39,2,3,10,5,0,0,0,0,0,0,0,39,27,17,8,0,277,680,121,20,48,79,60,184,32,286,1,20,0,0,15,91
33,2000,5158032,0,1,0,2,8,8,14,16,14,17,19,17,19,17,10,15,7,13,6,9,4,0,0,2,2,0,1,0,0,0,0,0,6,2,1,1,0,0,1,4,8,8,9,11,22,17,12,26,29,27,36,45,47,51,38,30,27,40,2,1,5,2,1,0,0,0,0,0,0,34,16,13,13,0,231,575,19,30,80,88,78,184,39,186,4,11,1,0,10,76
