year,regional_schlüssel,kreis_city,eligblvotrs,votrpart,vldsecndvotrs,CDU/CSU ,SPD,GRÜNE,FDP ,DIE LINKE,AfD,Sonstige Parteien
2017,5378,      Rheinisch-Bergischer Kreis,217425,80.2,172529,61423,36221,15581,28787,11042,13777,5698
2017,53780004004,        Bergisch Gladbach,83807,80.3,66595,22879,14296,6723,10760,4598,5174,2165
2017,5378008,"        Burscheid, Rheinl",13735,77.1,10463,3557,2533,805,1544,681,931,412
2017,5378012,        Kürten,15754,81,12620,5127,2531,916,1944,682,978,442
2017,5378016,        Leichlingen (Rhld.),22271,81,17843,6234,3904,1490,2972,1205,1441,597
2017,5378020,        Odenthal,12272,85.5,10379,4145,1751,902,1930,510,818,323
2017,5378024,        Overath,20529,80.4,16326,6040,3295,1329,2769,955,1387,551
2017,5378028,        Rösrath,21850,79.7,17259,5615,3748,1828,3044,1174,1344,506
2017,5378032,        Wermelskirchen,27207,78.3,21044,7826,4163,1588,3824,1237,1704,702
2017,5382,      Rhein-Sieg-Kreis,453435,79.1,355920,123759,75505,28949,57409,24154,33463,12681
2017,5382004,        Alfter,17601,81.1,14186,4937,2790,1425,2447,962,1116,509
2017,5382008,        Bad Honnef,19189,81.8,15581,5476,2998,1515,3009,1086,1075,422
2017,5382012,"        Bornheim, Rheinl",36644,80.2,29194,10266,5909,2509,4897,1900,2747,966
2017,5382016,        Eitorf,13896,72.8,10013,3499,2300,610,1470,782,960,392
2017,5382020,        Hennef (Sieg),36445,79.2,28598,9875,5982,2361,4432,2052,2762,1134
2017,5382024,        Königswinter,31038,82.9,25540,8868,4943,2640,4492,1774,1972,851
2017,5382028,        Lohmar,23840,81.6,19313,6938,4039,1665,3173,1072,1765,661
2017,5382032,"        Meckenheim, Rheinl",18650,80.6,14892,5370,2926,1058,2714,922,1516,386
2017,5382036,        Much,11565,79.2,9089,3371,1801,667,1415,631,885,319
2017,5382040,        Neunkirchen-Seelscheid,15820,81.8,12857,4527,2581,1075,2133,836,1266,439
2017,5382044,        Niederkassel,28277,80.8,22704,8172,5141,1594,3632,1201,2186,778
2017,5382048,        Rheinbach,20993,81.3,16964,6273,3348,1439,2963,883,1516,542
2017,5382052,        Ruppichteroth,7824,77.6,6004,2097,1304,396,810,455,681,261
2017,53820056056,        Sankt Augustin,42232,77.9,32603,11136,6939,2720,5138,2407,3130,1133
2017,5382060,        Siegburg,30398,75.7,22812,7422,4863,1919,3464,1965,2149,1030
2017,5382064,        Swisttal,14271,80.5,11376,4328,2389,767,1831,566,1160,335
2017,53820068068,        Troisdorf,54060,75,40143,12921,9781,2752,5442,3164,4331,1752
2017,5382072,        Wachtberg,15402,84,12827,4771,2341,1119,2651,616,994,335
2017,5382076,        Windeck,15290,74.1,11224,3512,3130,718,1296,880,1252,436
2017,55,"    Münster, Regierungsbezirk",1969231,76.8,1501087,542396,392054,106667,179136,98509,131367,50958
2017,55120000000,"      Bottrop, Kreisfreie Stadt",88352,75.1,65788,18476,21388,3161,6826,4719,8244,2974
2017,5130000000,"      Gelsenkirchen, Kreisfreie Stadt",175210,68.2,118066,26452,39524,5489,10834,8703,20113,6951
2017,55150000000,"      Münster, Kreisfreie Stadt",232294,82.3,190126,62276,39714,27739,25684,19287,9393,6033
2017,5554,"      Borken, Kreis",278058,78.1,215672,101248,46112,12249,28147,9429,13236,5251
2017,5554004,        Ahaus,29283,78.8,22939,11311,4495,1306,3077,981,1202,567
2017,55540008008,        Bocholt,55345,76.7,42138,18343,10273,2571,5267,1892,2689,1103
2017,5554012,        Borken,32108,78,24876,11834,4839,1520,3465,1067,1576,575
2017,5554016,        Gescher,13374,79.1,10502,4777,2426,691,1320,464,594,230
2017,5554020,        Gronau (Westf.),32227,69.4,22196,8621,5568,1090,2799,1393,2013,712
2017,5554024,        Heek,6314,83.1,5217,3106,919,166,561,140,228,97
2017,5554028,        Heiden,6433,83,5310,2745,1006,290,676,182,290,121
2017,5554032,        Isselburg,7798,77.3,5985,2508,1649,334,709,275,376,134
2017,5554036,        Legden,5340,81.1,4307,2238,797,239,570,186,185,92
2017,5554040,        Raesfeld,8861,83.5,7352,3623,1307,423,1036,295,508,160
2017,5554044,        Reken,11533,78.1,8943,4346,1662,424,1193,343,731,244
2017,5554048,        Rhede,14966,82.5,12258,5945,2706,853,1419,455,631,249
2017,5554052,        Schöppingen,4916,80.8,3957,2091,636,228,531,189,203,79
